TRACK_clean,ncaa_name,espn_name,dist,primary_color,secondary_color,tertiary_color,color_4,color_5,color_6,logo_url,color_3,conference,ncaa_name_TRUE
Eastern Illinois,Eastern Ill.,E Illinois,0.13194444444444453,#003399,#B2B2B2,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Eastern_Illinois_Panthers_logo.svg/280px-Eastern_Illinois_Panthers_logo.svg.png,NA,OVC,Eastern Illinois
Eastern Kentucky,Eastern Ky.,E Kentucky,0.15530303030303028,#4C151E,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Eastern_Kentucky_Colonels_logo.svg/320px-Eastern_Kentucky_Colonels_logo.svg.png,NA,A-Sun,Eastern Kentucky
Eastern Michigan,Eastern Mich.,E Michigan,0.10897435897435892,#006633,#000000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Eastern_Michigan_Eagles_logo.svg/211px-Eastern_Michigan_Eagles_logo.svg.png,NA,MAC,Eastern Michigan
Eastern Washington,Eastern Wash.,E Washington,0.1367521367521367,#A10022,#FFFFFF,#6D6E71,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Eastern_Washington_Eagles_logo.svg/257px-Eastern_Washington_Eagles_logo.svg.png,NA,Big Sky,Eastern Washington
Elon,Elon,Elon,0,#73000A,#B59A57,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Elon_Phoenix_logo.svg/310px-Elon_Phoenix_logo.svg.png,NA,CAA,Elon
Evansville,Evansville,Evansville,0,#52237F,#F36F21,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Evansville_Purple_Aces_logo.svg/320px-Evansville_Purple_Aces_logo.svg.png,NA,MVC,Evansville
Fairfield,Fairfield,Fairfield,0,#C8102E,#A2AAAD,#000000,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Fairfield_Stags_logo.svg/272px-Fairfield_Stags_logo.svg.png,NA,MAAC,Fairfield
Fairleigh Dickinson,Fairleigh Dickinson,Fair Dickinson,0,#A32638,#003F87,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/FDU_Knights_logo.svg/176px-FDU_Knights_logo.svg.png,NA,NEC,Fairleigh Dickinson
FIU,FIU,FIU,0,#081E3F,#B6862C,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/FIU_Panthers_logo.svg/185px-FIU_Panthers_logo.svg.png,NA,C-USA,FIU
Florida,Florida,Florida,0,#0021A5,#FA4616,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Florida_Gators_gator_logo.svg/320px-Florida_Gators_gator_logo.svg.png,NA,SEC,Florida
Florida A&M,Florida A&M,Florida A&M,0,#F4811F,#008344,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/7/78/FAMU_Rattler.png,NA,SWAC,Florida A&M
Florida Atlantic,Fla. Atlantic,FAU,0,#003366,#CC0000,#8A8D8F,#CCCCCC,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Florida_Atlantic_Owls_logo.svg/320px-Florida_Atlantic_Owls_logo.svg.png,NA,C-USA,Fla. Atlantic
Florida Int'l,FIU,FIU,0,#081E3F,#B6862C,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/FIU_Panthers_logo.svg/185px-FIU_Panthers_logo.svg.png,NA,C-USA,FIU
Florida State,Florida St.,Florida State,0.10722610722610726,#782F40,#CEB888,#FFFFFF,#000000,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Florida_State_Seminoles_logo.svg/235px-Florida_State_Seminoles_logo.svg.png,NA,ACC,Florida State
Fordham,Fordham,Fordham,0,#860038,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Fordham_Rams_logo.svg/268px-Fordham_Rams_logo.svg.png,NA,A-10,Fordham
Fresno State,Fresno St.,Fresno State,0.1166666666666667,#DB0032,#002E6D,#007934,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Fresno_State_Bulldogs_logo.svg/320px-Fresno_State_Bulldogs_logo.svg.png,NA,MWC,Fresno State
Furman,Furman,Furman,0,#582C83,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Furman_Paladins_logo.svg/245px-Furman_Paladins_logo.svg.png,NA,Southern,Furman
